序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0483,1224238.1275,35.0045," 31:14:40.84290"," 121:35:32.85730",35.0045,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:16.0,2019-12-25 14:31:16.0,2019-12-25 06:31:16.0,2019-12-25 06:31:16.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:11"," 149:03:46.13"," -00:35:24"," -00:31:12"," 107:40:12.00"," 31:14:40.85889"," 121:35:32.86450",35.0045,742.0741," 172:06:42.60246",0.0000,,,-2859303.1245,4649101.2298,3289135.3379,0:0:0
2,pt1,3483083.0490,1224238.1263,35.0095," 31:14:40.84293"," 121:35:32.85726",35.0095,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:17.0,2019-12-25 14:31:17.0,2019-12-25 06:31:17.0,2019-12-25 06:31:17.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:48:06"," 148:20:51.16"," -00:36:36"," -00:31:12"," 107:54:00.00"," 31:14:40.85891"," 121:35:32.86446",35.0095,742.0750," 172:06:42.30907",0.0000,,,-2859303.1256,4649101.2337,3289135.3412,0:0:0
3,pt2,3483083.0501,1224238.1275,35.0045," 31:14:40.84296"," 121:35:32.85731",35.0045,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:18.0,2019-12-25 14:31:18.0,2019-12-25 06:31:18.0,2019-12-25 06:31:18.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:42"," 147:56:20.80"," -00:36:36"," -00:30:36"," 108:02:24.00"," 31:14:40.85894"," 121:35:32.86451",35.0045,742.0759," 172:06:42.67591",0.0000,,,-2859303.1241,4649101.2290,3289135.3394,0:0:0
4,pt3,3483083.0492,1224238.1281,35.0035," 31:14:40.84293"," 121:35:32.85733",35.0035,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:19.0,2019-12-25 14:31:19.0,2019-12-25 06:31:19.0,2019-12-25 06:31:19.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:45:57"," 148:38:05.31"," -00:34:48"," -00:30:00"," 107:52:12.00"," 31:14:40.85891"," 121:35:32.86453",35.0035,742.0749," 172:06:42.80288",0.0000,,,-2859303.1244,4649101.2284,3289135.3381,0:0:0
5,pt4,3483083.0478,1224238.1243,35.0125," 31:14:40.84290"," 121:35:32.85718",35.0125,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:20.0,2019-12-25 14:31:20.0,2019-12-25 06:31:20.0,2019-12-25 06:31:20.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:42"," 147:52:44.80"," -00:36:36"," -00:30:36"," 107:58:48.00"," 31:14:40.85888"," 121:35:32.86438",35.0125,742.0741," 172:06:41.69937",0.0000,,,-2859303.1254,4649101.2375,3289135.3418,0:0:0
6,pt5,3483083.0465,1224238.1249,35.0105," 31:14:40.84285"," 121:35:32.85720",35.0105,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:21.0,2019-12-25 14:31:21.0,2019-12-25 06:31:21.0,2019-12-25 06:31:21.0,,1.0,33,19,1.7000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:48:06"," 148:17:15.16"," -00:36:36"," -00:31:12"," 107:50:24.00"," 31:14:40.85884"," 121:35:32.86440",35.0105,742.0728," 172:06:41.81560",0.0000,,,-2859303.1253,4649101.2363,3289135.3397,0:0:0
7,pt6,3483083.0469,1224238.1285,35.0045," 31:14:40.84286"," 121:35:32.85734",35.0045,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:22.0,2019-12-25 14:31:22.0,2019-12-25 06:31:22.0,2019-12-25 06:31:22.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:35:07.37"," -00:36:36"," -00:29:24"," 107:48:36.00"," 31:14:40.85884"," 121:35:32.86454",35.0045,742.0726," 172:06:42.81713",0.0000,,,-2859303.1256,4649101.2300,3289135.3367,0:0:0
8,pt7,3483083.0492,1224238.1266,35.0135," 31:14:40.84294"," 121:35:32.85727",35.0135,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:23.0,2019-12-25 14:31:23.0,2019-12-25 06:31:23.0,2019-12-25 06:31:23.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:24"," 148:23:27.89"," -00:35:24"," -00:30:00"," 108:06:36.00"," 31:14:40.85892"," 121:35:32.86447",35.0135,742.0752," 172:06:42.38814",0.0000,,,-2859303.1275,4649101.2364,3289135.3434,0:0:0
9,pt8,3483083.0492,1224238.1268,35.0085," 31:14:40.84293"," 121:35:32.85728",35.0085,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:24.0,2019-12-25 14:31:24.0,2019-12-25 06:31:24.0,2019-12-25 06:31:24.0,,2.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:19"," 147:15:06.34"," -00:36:36"," -00:30:00"," 107:54:36.00"," 31:14:40.85892"," 121:35:32.86448",35.0085,742.0751," 172:06:42.45313",0.0000,,,-2859303.1255,4649101.2326,3289135.3408,0:0:0
10,pt9,3483083.0483,1224238.1236,35.0025," 31:14:40.84291"," 121:35:32.85715",35.0025,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:25.0,2019-12-25 14:31:25.0,2019-12-25 06:31:25.0,2019-12-25 06:31:25.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:30:19.37"," -00:36:36"," -00:29:24"," 107:43:48.00"," 31:14:40.85890"," 121:35:32.86436",35.0025,742.0746," 172:06:41.52468",0.0000,,,-2859303.1202,4649101.2303,3289135.3371,0:0:0
