序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0418,1224238.1235,35.0017," 31:14:40.84271"," 121:35:32.85713",35.0017,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0220,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:08.0,2019-12-25 09:59:08.0,2019-12-25 01:59:08.0,2019-12-25 01:59:08.0,,2.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:52:37"," 137:43:32.66"," -00:36:36"," -00:37:48"," 91:48:00.00"," 31:14:40.85869"," 121:35:32.86434",35.0017,742.0683," 172:06:41.25308",0.0000,,,-2859303.1211,4649101.2328,3289135.3312,0:0:0
2,pt1,3483083.0416,1224238.1262,35.0087," 31:14:40.84269"," 121:35:32.85723",35.0087,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0220,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:09.0,2019-12-25 09:59:09.0,2019-12-25 01:59:09.0,2019-12-25 01:59:09.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:53:02"," 137:17:24.25"," -00:37:12"," -00:37:48"," 91:49:48.00"," 31:14:40.85867"," 121:35:32.86443",35.0087,742.0677," 172:06:41.97548",0.0000,,,-2859303.1266,4649101.2367,3289135.3344,0:0:0
3,pt2,3483083.0471,1224238.1315,35.0227," 31:14:40.84286"," 121:35:32.85745",35.0227,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0220,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:10.0,2019-12-25 09:59:10.0,2019-12-25 01:59:10.0,2019-12-25 01:59:10.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:51:47"," 138:50:22.33"," -00:35:24"," -00:37:48"," 91:57:36.00"," 31:14:40.85884"," 121:35:32.86465",35.0227,742.0725," 172:06:43.65735",0.0000,,,-2859303.1364,4649101.2417,3289135.3461,0:0:0
4,pt3,3483083.0453,1224238.1256,35.0117," 31:14:40.84281"," 121:35:32.85722",35.0117,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:11.0,2019-12-25 09:59:11.0,2019-12-25 01:59:11.0,2019-12-25 01:59:11.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:51:49"," 139:29:50.03"," -00:34:48"," -00:38:24"," 91:40:48.00"," 31:14:40.85880"," 121:35:32.86442",35.0117,742.0715," 172:06:41.95454",0.0000,,,-2859303.1266,4649101.2374,3289135.3392,0:0:0
5,pt4,3483083.0466,1224238.1279,35.0187," 31:14:40.84285"," 121:35:32.85731",35.0187,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:12.0,2019-12-25 09:59:12.0,2019-12-25 01:59:12.0,2019-12-25 01:59:12.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:51:49"," 139:19:02.03"," -00:34:48"," -00:38:24"," 91:30:00.00"," 31:14:40.85883"," 121:35:32.86451",35.0187,742.0724," 172:06:42.65300",0.0000,,,-2859303.1316,4649101.2407,3289135.3438,0:0:0
6,pt5,3483083.0470,1224238.1272,35.0207," 31:14:40.84286"," 121:35:32.85729",35.0207,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:13.0,2019-12-25 09:59:13.0,2019-12-25 01:59:13.0,2019-12-25 01:59:13.0,,1.0,36,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:52:14"," 139:25:46.23"," -00:35:24"," -00:38:24"," 92:06:00.00"," 31:14:40.85885"," 121:35:32.86449",35.0207,742.0730," 172:06:42.46403",0.0000,,,-2859303.1317,4649101.2424,3289135.3452,0:0:0
7,pt6,3483083.0495,1224238.1304,35.0187," 31:14:40.84294"," 121:35:32.85741",35.0187,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:14.0,2019-12-25 09:59:14.0,2019-12-25 01:59:14.0,2019-12-25 01:59:14.0,,1.0,36,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:53:03"," 138:37:35.64"," -00:36:36"," -00:38:24"," 92:15:00.00"," 31:14:40.85892"," 121:35:32.86461",35.0187,742.0750," 172:06:43.44004",0.0000,,,-2859303.1331,4649101.2382,3289135.3461,0:0:0
8,pt7,3483083.0443,1224238.1302,35.0187," 31:14:40.84277"," 121:35:32.85739",35.0187,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:15.0,2019-12-25 09:59:15.0,2019-12-25 01:59:15.0,2019-12-25 01:59:15.0,,1.0,36,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:51:49"," 139:52:02.03"," -00:34:48"," -00:38:24"," 92:03:00.00"," 31:14:40.85875"," 121:35:32.86459",35.0187,742.0699," 172:06:43.18026",0.0000,,,-2859303.1340,4649101.2407,3289135.3417,0:0:0
9,pt8,3483083.0459,1224238.1290,35.0207," 31:14:40.84282"," 121:35:32.85735",35.0207,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:16.0,2019-12-25 09:59:16.0,2019-12-25 01:59:16.0,2019-12-25 01:59:16.0,,1.0,36,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:52:38"," 138:50:21.56"," -00:36:00"," -00:38:24"," 91:59:24.00"," 31:14:40.85881"," 121:35:32.86455",35.0207,742.0716," 172:06:42.90712",0.0000,,,-2859303.1335,4649101.2420,3289135.3441,0:0:0
10,pt9,3483083.0496,1224238.1294,35.0147," 31:14:40.84294"," 121:35:32.85738",35.0147,,,,,,,1.4793,0.0090,0.0080,0.0120,0.0230,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 09:59:17.0,2019-12-25 09:59:17.0,2019-12-25 01:59:17.0,2019-12-25 01:59:17.0,,1.0,36,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:51:49"," 139:55:02.03"," -00:34:48"," -00:38:24"," 92:06:00.00"," 31:14:40.85892"," 121:35:32.86458",35.0147,742.0752," 172:06:43.17940",0.0000,,,-2859303.1304,4649101.2357,3289135.3442,0:0:0
