序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0584,1224238.1246,35.0067," 31:14:40.84324"," 121:35:32.85722",35.0067,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:04.0,2019-12-25 10:27:04.0,2019-12-25 02:27:04.0,2019-12-25 02:27:04.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:41"," 139:16:42.89"," -00:33:36"," -00:36:36"," 91:49:48.00"," 31:14:40.85922"," 121:35:32.86442",35.0067,929.4853," 46:38:23.18055",0.0000,,,-2859303.1208,4649101.2280,3289135.3478,0:0:0
2,pt1,3483083.0606,1224238.1241,35.0167," 31:14:40.84331"," 121:35:32.85721",35.0167,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:05.0,2019-12-25 10:27:05.0,2019-12-25 02:27:05.0,2019-12-25 02:27:05.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:15"," 138:27:23.16"," -00:33:36"," -00:36:00"," 91:28:48.00"," 31:14:40.85929"," 121:35:32.86441",35.0167,929.4843," 46:38:23.60272",0.0000,,,-2859303.1244,4649101.2345,3289135.3548,0:0:0
3,pt2,3483083.0589,1224238.1235,35.0107," 31:14:40.84325"," 121:35:32.85718",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:06.0,2019-12-25 10:27:06.0,2019-12-25 02:27:06.0,2019-12-25 02:27:06.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:15"," 139:17:11.16"," -00:33:36"," -00:36:00"," 92:18:36.00"," 31:14:40.85924"," 121:35:32.86438",35.0107,929.4859," 46:38:23.41819",0.0000,,,-2859303.1216,4649101.2313,3289135.3503,0:0:0
4,pt3,3483083.0586,1224238.1248,35.0137," 31:14:40.84324"," 121:35:32.85723",35.0137,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:07.0,2019-12-25 10:27:07.0,2019-12-25 02:27:07.0,2019-12-25 02:27:07.0,,1.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:39"," 138:17:25.15"," -00:34:12"," -00:36:00"," 91:49:12.00"," 31:14:40.85922"," 121:35:32.86443",35.0137,929.4851," 46:38:23.18354",0.0000,,,-2859303.1241,4649101.2330,3289135.3515,0:0:0
5,pt4,3483083.0589,1224238.1248,35.0147," 31:14:40.84325"," 121:35:32.85723",35.0147,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:08.0,2019-12-25 10:27:08.0,2019-12-25 02:27:08.0,2019-12-25 02:27:08.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 138:03:20.50"," -00:34:48"," -00:36:36"," 91:36:36.00"," 31:14:40.85923"," 121:35:32.86443",35.0147,929.4849," 46:38:23.21988",0.0000,,,-2859303.1245,4649101.2335,3289135.3523,0:0:0
6,pt5,3483083.0615,1224238.1233,35.0117," 31:14:40.84334"," 121:35:32.85718",35.0117,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:09.0,2019-12-25 10:27:09.0,2019-12-25 02:27:09.0,2019-12-25 02:27:09.0,,1.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:38"," 137:17:28.31"," -00:34:48"," -00:35:24"," 91:48:00.00"," 31:14:40.85932"," 121:35:32.86438",35.0117,929.4843," 46:38:23.86850",0.0000,,,-2859303.1213,4649101.2309,3289135.3530,0:0:0
7,pt6,3483083.0605,1224238.1250,35.0097," 31:14:40.84330"," 121:35:32.85724",35.0097,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:10.0,2019-12-25 10:27:10.0,2019-12-25 02:27:10.0,2019-12-25 02:27:10.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:04"," 137:53:33.21"," -00:34:48"," -00:36:00"," 91:55:12.00"," 31:14:40.85928"," 121:35:32.86444",35.0097,929.4837," 46:38:23.45343",0.0000,,,-2859303.1220,4649101.2290,3289135.3511,0:0:0
8,pt7,3483083.0592,1224238.1225,35.0117," 31:14:40.84327"," 121:35:32.85714",35.0117,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:11.0,2019-12-25 10:27:11.0,2019-12-25 02:27:11.0,2019-12-25 02:27:11.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:04"," 138:13:21.21"," -00:34:48"," -00:36:00"," 92:15:00.00"," 31:14:40.85925"," 121:35:32.86434",35.0117,929.4864," 46:38:23.62023",0.0000,,,-2859303.1211,4649101.2323,3289135.3511,0:0:0
9,pt8,3483083.0601,1224238.1236,35.0107," 31:14:40.84329"," 121:35:32.85719",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:12.0,2019-12-25 10:27:12.0,2019-12-25 02:27:12.0,2019-12-25 02:27:12.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:04"," 137:16:57.21"," -00:34:48"," -00:36:00"," 91:18:36.00"," 31:14:40.85928"," 121:35:32.86439",35.0107,929.4849," 46:38:23.60681",0.0000,,,-2859303.1214,4649101.2306,3289135.3514,0:0:0
10,pt9,3483083.0608,1224238.1249,35.0097," 31:14:40.84331"," 121:35:32.85724",35.0097,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:13.0,2019-12-25 10:27:13.0,2019-12-25 02:27:13.0,2019-12-25 02:27:13.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:41"," 139:33:30.89"," -00:33:36"," -00:36:36"," 92:06:36.00"," 31:14:40.85929"," 121:35:32.86444",35.0097,929.4835," 46:38:23.50636",0.0000,,,-2859303.1220,4649101.2289,3289135.3513,0:0:0
