序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0487,1224238.1199,35.0035," 31:14:40.84293"," 121:35:32.85702",35.0035,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:49.0,2019-12-25 12:10:49.0,2019-12-25 04:10:49.0,2019-12-25 04:10:49.0,,2.0,34,22,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:51"," 36:52:57.53"," -00:47:24"," -00:27:36"," 06:40:12.00"," 31:14:40.85892"," 121:35:32.86422",35.0035,742.0755," 172:06:40.53249",0.0000,,,-2859303.1174,4649101.2327,3289135.3381,0:0:0
2,pt1,3483083.0494,1224238.1209,35.0025," 31:14:40.84296"," 121:35:32.85706",35.0025,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:50.0,2019-12-25 12:10:50.0,2019-12-25 04:10:50.0,2019-12-25 04:10:50.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:04"," 36:20:20.59"," -00:48:00"," -00:27:00"," 06:58:48.00"," 31:14:40.85894"," 121:35:32.86426",35.0025,742.0761," 172:06:40.83170",0.0000,,,-2859303.1177,4649101.2311,3289135.3382,0:0:0
3,pt2,3483083.0475,1224238.1201,35.0065," 31:14:40.84290"," 121:35:32.85702",35.0065,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:51.0,2019-12-25 12:10:51.0,2019-12-25 04:10:51.0,2019-12-25 04:10:51.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:33"," 36:34:40.81"," -00:47:24"," -00:27:00"," 06:54:36.00"," 31:14:40.85888"," 121:35:32.86422",35.0065,742.0744," 172:06:40.55062",0.0000,,,-2859303.1192,4649101.2353,3289135.3387,0:0:0
4,pt3,3483083.0468,1224238.1198,35.0075," 31:14:40.84287"," 121:35:32.85701",35.0075,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:52.0,2019-12-25 12:10:52.0,2019-12-25 04:10:52.0,2019-12-25 04:10:52.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:33"," 36:06:28.81"," -00:47:24"," -00:27:00"," 06:26:24.00"," 31:14:40.85886"," 121:35:32.86421",35.0075,742.0737," 172:06:40.42241",0.0000,,,-2859303.1195,4649101.2365,3289135.3386,0:0:0
5,pt4,3483083.0462,1224238.1196,35.0085," 31:14:40.84286"," 121:35:32.85700",35.0085,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:53.0,2019-12-25 12:10:53.0,2019-12-25 04:10:53.0,2019-12-25 04:10:53.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:04"," 35:55:44.59"," -00:48:00"," -00:27:00"," 06:34:12.00"," 31:14:40.85884"," 121:35:32.86420",35.0085,742.0732," 172:06:40.35900",0.0000,,,-2859303.1199,4649101.2376,3289135.3387,0:0:0
6,pt5,3483083.0467,1224238.1180,35.0075," 31:14:40.84287"," 121:35:32.85694",35.0075,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:54.0,2019-12-25 12:10:54.0,2019-12-25 04:10:54.0,2019-12-25 04:10:54.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:40"," 37:00:20.20"," -00:48:00"," -00:28:12"," 06:34:12.00"," 31:14:40.85886"," 121:35:32.86414",35.0075,742.0738," 172:06:39.92560",0.0000,,,-2859303.1179,4649101.2375,3289135.3387,0:0:0
7,pt6,3483083.0457,1224238.1173,35.0105," 31:14:40.84284"," 121:35:32.85691",35.0105,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:55.0,2019-12-25 12:10:55.0,2019-12-25 04:10:55.0,2019-12-25 04:10:55.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:40"," 36:57:56.20"," -00:48:00"," -00:28:12"," 06:31:48.00"," 31:14:40.85883"," 121:35:32.86412",35.0105,742.0730," 172:06:39.72272",0.0000,,,-2859303.1190,4649101.2404,3289135.3394,0:0:0
8,pt7,3483083.0460,1224238.1154,35.0115," 31:14:40.84286"," 121:35:32.85684",35.0115,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:56.0,2019-12-25 12:10:56.0,2019-12-25 04:10:56.0,2019-12-25 04:10:56.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:04"," 35:44:20.59"," -00:48:00"," -00:27:00"," 06:22:48.00"," 31:14:40.85884"," 121:35:32.86404",35.0115,742.0735," 172:06:39.19369",0.0000,,,-2859303.1176,4649101.2420,3289135.3403,0:0:0
9,pt8,3483083.0445,1224238.1177,35.0135," 31:14:40.84281"," 121:35:32.85692",35.0135,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:57.0,2019-12-25 12:10:57.0,2019-12-25 04:10:57.0,2019-12-25 04:10:57.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:40"," 37:05:44.20"," -00:48:00"," -00:28:12"," 06:39:36.00"," 31:14:40.85879"," 121:35:32.86412",35.0135,742.0718," 172:06:39.76621",0.0000,,,-2859303.1208,4649101.2430,3289135.3400,0:0:0
10,pt9,3483083.0479,1224238.1196,35.0105," 31:14:40.84291"," 121:35:32.85701",35.0105,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:58.0,2019-12-25 12:10:58.0,2019-12-25 04:10:58.0,2019-12-25 04:10:58.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:40"," 37:14:44.20"," -00:48:00"," -00:28:12"," 06:48:36.00"," 31:14:40.85889"," 121:35:32.86421",35.0105,742.0748," 172:06:40.43069",0.0000,,,-2859303.1205,4649101.2382,3289135.3412,0:0:0
