序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0562,1224238.1167,35.0115," 31:14:40.84318"," 121:35:32.85692",35.0115,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:52.0,2019-12-25 11:52:52.0,2019-12-25 03:52:52.0,2019-12-25 03:52:52.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:47"," 38:40:14.98"," -00:47:24"," -00:29:24"," 06:51:36.00"," 31:14:40.85917"," 121:35:32.86412",35.0115,929.4926," 46:38:24.02260",0.0000,,,-2859303.1166,4649101.2365,3289135.3489,0:0:0
2,pt1,3483083.0606,1224238.1171,34.9965," 31:14:40.84332"," 121:35:32.85694",34.9965,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:53.0,2019-12-25 11:52:53.0,2019-12-25 03:52:53.0,2019-12-25 03:52:53.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:47"," 38:39:38.98"," -00:47:24"," -00:29:24"," 06:51:00.00"," 31:14:40.85931"," 121:35:32.86414",34.9965,929.4893," 46:38:24.65930",0.0000,,,-2859303.1093,4649101.2233,3289135.3448,0:0:0
3,pt2,3483083.0590,1224238.1158,34.9985," 31:14:40.84327"," 121:35:32.85689",34.9985,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:54.0,2019-12-25 11:52:54.0,2019-12-25 03:52:54.0,2019-12-25 03:52:54.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:47"," 38:55:50.98"," -00:47:24"," -00:29:24"," 07:07:12.00"," 31:14:40.85926"," 121:35:32.86409",34.9985,929.4913," 46:38:24.60617",0.0000,,,-2859303.1094,4649101.2262,3289135.3445,0:0:0
4,pt3,3483083.0592,1224238.1187,35.0005," 31:14:40.84327"," 121:35:32.85700",35.0005,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:55.0,2019-12-25 11:52:55.0,2019-12-25 03:52:55.0,2019-12-25 03:52:55.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:47"," 38:44:26.98"," -00:47:24"," -00:29:24"," 06:55:48.00"," 31:14:40.85926"," 121:35:32.86420",35.0005,929.4891," 46:38:24.20098",0.0000,,,-2859303.1128,4649101.2261,3289135.3456,0:0:0
5,pt4,3483083.0575,1224238.1198,35.0045," 31:14:40.84322"," 121:35:32.85704",35.0045,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:56.0,2019-12-25 11:52:56.0,2019-12-25 03:52:56.0,2019-12-25 03:52:56.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:22"," 36:49:48.86"," -00:48:00"," -00:27:36"," 06:55:48.00"," 31:14:40.85920"," 121:35:32.86424",35.0045,929.4894," 46:38:23.74826",0.0000,,,-2859303.1160,4649101.2292,3289135.3461,0:0:0
6,pt5,3483083.0571,1224238.1202,35.0055," 31:14:40.84320"," 121:35:32.85705",35.0055,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:57.0,2019-12-25 11:52:57.0,2019-12-25 03:52:57.0,2019-12-25 03:52:57.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:55:09"," 37:54:04.79"," -00:47:24"," -00:28:12"," 07:09:00.00"," 31:14:40.85919"," 121:35:32.86425",35.0055,929.4895," 46:38:23.63289",0.0000,,,-2859303.1168,4649101.2300,3289135.3463,0:0:0
7,pt6,3483083.0594,1224238.1187,35.0025," 31:14:40.84328"," 121:35:32.85700",35.0025,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:58.0,2019-12-25 11:52:58.0,2019-12-25 03:52:58.0,2019-12-25 03:52:58.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:10:21.38"," -00:46:12"," -00:29:24"," 06:42:00.00"," 31:14:40.85926"," 121:35:32.86420",35.0025,929.4889," 46:38:24.22279",0.0000,,,-2859303.1137,4649101.2274,3289135.3468,0:0:0
8,pt7,3483083.0555,1224238.1198,35.0125," 31:14:40.84315"," 121:35:32.85703",35.0125,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:52:59.0,2019-12-25 11:52:59.0,2019-12-25 03:52:59.0,2019-12-25 03:52:59.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:24:45.38"," -00:46:12"," -00:29:24"," 06:56:24.00"," 31:14:40.85914"," 121:35:32.86423",35.0125,929.4908," 46:38:23.44016",0.0000,,,-2859303.1199,4649101.2360,3289135.3486,0:0:0
9,pt8,3483083.0584,1224238.1184,35.0005," 31:14:40.84325"," 121:35:32.85699",35.0005,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:00.0,2019-12-25 11:53:00.0,2019-12-25 03:53:00.0,2019-12-25 03:53:00.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:26"," 38:38:23.37"," -00:46:12"," -00:28:48"," 06:42:00.00"," 31:14:40.85923"," 121:35:32.86419",35.0005,929.4899," 46:38:24.11524",0.0000,,,-2859303.1127,4649101.2266,3289135.3449,0:0:0
10,pt9,3483083.0566,1224238.1179,35.0105," 31:14:40.84319"," 121:35:32.85696",35.0105,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:01.0,2019-12-25 11:53:01.0,2019-12-25 03:53:01.0,2019-12-25 03:53:01.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:17:33.38"," -00:46:12"," -00:29:24"," 06:49:12.00"," 31:14:40.85918"," 121:35:32.86416",35.0105,929.4915," 46:38:23.90332",0.0000,,,-2859303.1171,4649101.2350,3289135.3486,0:0:0
11,pt10,3483083.0564,1224238.1186,35.0065," 31:14:40.84318"," 121:35:32.85699",35.0065,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:02.0,2019-12-25 11:53:02.0,2019-12-25 03:53:02.0,2019-12-25 03:53:02.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:15"," 40:07:21.97"," -00:45:36"," -00:29:24"," 07:18:36.00"," 31:14:40.85917"," 121:35:32.86419",35.0065,929.4911," 46:38:23.75291",0.0000,,,-2859303.1160,4649101.2318,3289135.3463,0:0:0
12,pt11,3483083.0565,1224238.1204,35.0115," 31:14:40.84318"," 121:35:32.85706",35.0115,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:03.0,2019-12-25 11:53:03.0,2019-12-25 03:53:03.0,2019-12-25 03:53:03.0,,2.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:53:45"," 40:15:33.53"," -00:45:00"," -00:29:24"," 07:06:00.00"," 31:14:40.85917"," 121:35:32.86426",35.0115,929.4897," 46:38:23.49832",0.0000,,,-2859303.1198,4649101.2345,3289135.3489,0:0:0
13,pt12,3483083.0590,1224238.1197,35.0065," 31:14:40.84327"," 121:35:32.85704",35.0065,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:04.0,2019-12-25 11:53:04.0,2019-12-25 03:53:04.0,2019-12-25 03:53:04.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:15"," 39:52:57.97"," -00:45:36"," -00:29:24"," 07:04:12.00"," 31:14:40.85925"," 121:35:32.86424",35.0065,929.4885," 46:38:24.01255",0.0000,,,-2859303.1164,4649101.2300,3289135.3485,0:0:0
14,pt13,3483083.0586,1224238.1196,35.0005," 31:14:40.84325"," 121:35:32.85703",35.0005,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:05.0,2019-12-25 11:53:05.0,2019-12-25 03:53:05.0,2019-12-25 03:53:05.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:30:09.38"," -00:46:12"," -00:29:24"," 07:01:48.00"," 31:14:40.85924"," 121:35:32.86423",35.0005,929.4888," 46:38:23.97062",0.0000,,,-2859303.1137,4649101.2259,3289135.3450,0:0:0
15,pt14,3483083.0584,1224238.1195,34.9995," 31:14:40.84325"," 121:35:32.85703",34.9995,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:06.0,2019-12-25 11:53:06.0,2019-12-25 03:53:06.0,2019-12-25 03:53:06.0,,1.0,35,18,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:26"," 38:58:11.37"," -00:46:12"," -00:28:48"," 07:01:48.00"," 31:14:40.85923"," 121:35:32.86423",34.9995,929.4890," 46:38:23.94154",0.0000,,,-2859303.1132,4649101.2253,3289135.3443,0:0:0
16,pt15,3483083.0575,1224238.1188,35.0045," 31:14:40.84322"," 121:35:32.85700",35.0045,,,,,,,1.5125,0.0120,0.0120,0.0170,0.0330,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 11:53:07.0,2019-12-25 11:53:07.0,2019-12-25 03:53:07.0,2019-12-25 03:53:07.0,,1.0,35,17,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:54:46"," 39:17:33.38"," -00:46:12"," -00:29:24"," 06:49:12.00"," 31:14:40.85920"," 121:35:32.86420",35.0045,929.4902," 46:38:23.90537",0.0000,,,-2859303.1150,4649101.2298,3289135.3462,0:0:0
