序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
1,pt0,3483083.0487,1224238.1226,35.0025," 31:14:40.84293"," 121:35:32.85712",35.0025,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:11.0,2020-01-02 11:12:11.0,2020-01-02 03:12:11.0,2020-01-02 03:12:11.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:56:40.23"
2,pt1,3483083.0517,1224238.1201,35.0015," 31:14:40.84303"," 121:35:32.85703",35.0015,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:12.0,2020-01-02 11:12:12.0,2020-01-02 03:12:12.0,2020-01-02 03:12:12.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:19"," 196:10:11.08"
3,pt2,3483083.0498,1224238.1241,34.9985," 31:14:40.84296"," 121:35:32.85718",34.9985,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:13.0,2020-01-02 11:12:13.0,2020-01-02 03:12:13.0,2020-01-02 03:12:13.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:22"," 198:02:37.69"
4,pt3,3483083.0491,1224238.1223,35.0025," 31:14:40.84294"," 121:35:32.85711",35.0025,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:14.0,2020-01-02 11:12:14.0,2020-01-02 03:12:14.0,2020-01-02 03:12:14.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:22"," 197:43:25.69"
5,pt4,3483083.0475,1224238.1230,34.9995," 31:14:40.84289"," 121:35:32.85713",34.9995,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:15.0,2020-01-02 11:12:15.0,2020-01-02 03:12:15.0,2020-01-02 03:12:15.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:28"," 196:01:37.24"
6,pt5,3483083.0484,1224238.1246,35.0075," 31:14:40.84291"," 121:35:32.85719",35.0075,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:16.0,2020-01-02 11:12:16.0,2020-01-02 03:12:16.0,2020-01-02 03:12:16.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:31"," 198:02:18.35"
7,pt6,3483083.0492,1224238.1232,35.0025," 31:14:40.84294"," 121:35:32.85714",35.0025,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:17.0,2020-01-02 11:12:17.0,2020-01-02 03:12:17.0,2020-01-02 03:12:17.0,,2.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:31"," 197:37:42.35"
8,pt7,3483083.0526,1224238.1231,34.9995," 31:14:40.84305"," 121:35:32.85715",34.9995,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:18.0,2020-01-02 11:12:18.0,2020-01-02 03:12:18.0,2020-01-02 03:12:18.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:19"," 196:15:35.08"
9,pt8,3483083.0496,1224238.1219,34.9965," 31:14:40.84296"," 121:35:32.85710",34.9965,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:19.0,2020-01-02 11:12:19.0,2020-01-02 03:12:19.0,2020-01-02 03:12:19.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:40:57.06"
10,pt9,3483083.0504,1224238.1218,34.9985," 31:14:40.84298"," 121:35:32.85709",34.9985,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:20.0,2020-01-02 11:12:20.0,2020-01-02 03:12:20.0,2020-01-02 03:12:20.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:18"," 195:30:50.70"
11,pt10,3483083.0489,1224238.1212,35.0015," 31:14:40.84294"," 121:35:32.85707",35.0015,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:21.0,2020-01-02 11:12:21.0,2020-01-02 03:12:21.0,2020-01-02 03:12:21.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 195:37:18.09"
12,pt11,3483083.0514,1224238.1209,35.0055," 31:14:40.84302"," 121:35:32.85706",35.0055,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:22.0,2020-01-02 11:12:22.0,2020-01-02 03:12:22.0,2020-01-02 03:12:22.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:23:04.23"
13,pt12,3483083.0506,1224238.1223,34.9965," 31:14:40.84299"," 121:35:32.85711",34.9965,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:23.0,2020-01-02 11:12:23.0,2020-01-02 03:12:23.0,2020-01-02 03:12:23.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:49:15.77"
14,pt13,3483083.0494,1224238.1240,35.0035," 31:14:40.84295"," 121:35:32.85717",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:24.0,2020-01-02 11:12:24.0,2020-01-02 03:12:24.0,2020-01-02 03:12:24.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:00"," 195:17:23.29"
