序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0487,1224238.1226,35.0025," 31:14:40.84293"," 121:35:32.85712",35.0025,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:11.0,2020-01-02 11:12:11.0,2020-01-02 03:12:11.0,2020-01-02 03:12:11.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:56:40.23"," -00:28:12"," -00:29:24"," 149:45:00.00"," 31:14:40.85891"," 121:35:32.86432",35.0025,742.0751," 172:06:41.28253",0.0000,,,-2859303.1193,4649101.2306,3289135.3375,0:0:0
2,pt1,3483083.0517,1224238.1201,35.0015," 31:14:40.84303"," 121:35:32.85703",35.0015,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:12.0,2020-01-02 11:12:12.0,2020-01-02 03:12:12.0,2020-01-02 03:12:12.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:19"," 196:10:11.08"," -00:27:36"," -00:29:24"," 149:21:36.00"," 31:14:40.85901"," 121:35:32.86423",35.0015,742.0784," 172:06:40.69928",0.0000,,,-2859303.1160,4649101.2297,3289135.3397,0:0:0
3,pt2,3483083.0498,1224238.1241,34.9985," 31:14:40.84296"," 121:35:32.85718",34.9985,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:13.0,2020-01-02 11:12:13.0,2020-01-02 03:12:13.0,2020-01-02 03:12:13.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:22"," 198:02:37.69"," -00:27:00"," -00:30:00"," 150:01:48.00"," 31:14:40.85894"," 121:35:32.86438",34.9985,742.0760," 172:06:41.72351",0.0000,,,-2859303.1186,4649101.2264,3289135.3363,0:0:0
4,pt3,3483083.0491,1224238.1223,35.0025," 31:14:40.84294"," 121:35:32.85711",35.0025,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:14.0,2020-01-02 11:12:14.0,2020-01-02 03:12:14.0,2020-01-02 03:12:14.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:22"," 197:43:25.69"," -00:27:00"," -00:30:00"," 149:42:36.00"," 31:14:40.85892"," 121:35:32.86431",35.0025,742.0755," 172:06:41.20593",0.0000,,,-2859303.1190,4649101.2306,3289135.3378,0:0:0
5,pt4,3483083.0475,1224238.1230,34.9995," 31:14:40.84289"," 121:35:32.85713",34.9995,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:15.0,2020-01-02 11:12:15.0,2020-01-02 03:12:15.0,2020-01-02 03:12:15.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:28"," 196:01:37.24"," -00:27:36"," -00:28:12"," 150:24:36.00"," 31:14:40.85887"," 121:35:32.86433",34.9995,742.0739," 172:06:41.32567",0.0000,,,-2859303.1185,4649101.2288,3289135.3349,0:0:0
6,pt5,3483083.0484,1224238.1246,35.0075," 31:14:40.84291"," 121:35:32.85719",35.0075,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:16.0,2020-01-02 11:12:16.0,2020-01-02 03:12:16.0,2020-01-02 03:12:16.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:31"," 198:02:18.35"," -00:26:24"," -00:29:24"," 149:57:36.00"," 31:14:40.85890"," 121:35:32.86440",35.0075,742.0746," 172:06:41.81931",0.0000,,,-2859303.1234,4649101.2334,3289135.3397,0:0:0
7,pt6,3483083.0492,1224238.1232,35.0025," 31:14:40.84294"," 121:35:32.85714",35.0025,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:17.0,2020-01-02 11:12:17.0,2020-01-02 03:12:17.0,2020-01-02 03:12:17.0,,2.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:39:31"," 197:37:42.35"," -00:26:24"," -00:29:24"," 149:33:00.00"," 31:14:40.85893"," 121:35:32.86434",35.0025,742.0756," 172:06:41.44984",0.0000,,,-2859303.1197,4649101.2301,3289135.3379,0:0:0
8,pt7,3483083.0526,1224238.1231,34.9995," 31:14:40.84305"," 121:35:32.85715",34.9995,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:18.0,2020-01-02 11:12:18.0,2020-01-02 03:12:18.0,2020-01-02 03:12:18.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:19"," 196:15:35.08"," -00:27:36"," -00:29:24"," 149:27:00.00"," 31:14:40.85904"," 121:35:32.86435",34.9995,742.0789," 172:06:41.55869",0.0000,,,-2859303.1175,4649101.2263,3289135.3393,0:0:0
9,pt8,3483083.0496,1224238.1219,34.9965," 31:14:40.84296"," 121:35:32.85710",34.9965,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:19.0,2020-01-02 11:12:19.0,2020-01-02 03:12:19.0,2020-01-02 03:12:19.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:40:57.06"," -00:28:12"," -00:30:00"," 149:54:36.00"," 31:14:40.85894"," 121:35:32.86430",34.9965,742.0761," 172:06:41.12510",0.0000,,,-2859303.1158,4649101.2261,3289135.3352,0:0:0
10,pt9,3483083.0504,1224238.1218,34.9985," 31:14:40.84298"," 121:35:32.85709",34.9985,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:20.0,2020-01-02 11:12:20.0,2020-01-02 03:12:20.0,2020-01-02 03:12:20.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:18"," 195:30:50.70"," -00:28:12"," -00:28:48"," 149:54:36.00"," 31:14:40.85897"," 121:35:32.86429",34.9985,742.0769," 172:06:41.11313",0.0000,,,-2859303.1164,4649101.2273,3289135.3369,0:0:0
