序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0557,1224238.1202,35.0105," 31:14:40.84316"," 121:35:32.85705",35.0105,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0220,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:37.0,2020-01-02 10:49:37.0,2020-01-02 02:49:37.0,2020-01-02 02:49:37.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:56:52.09"," -00:30:36"," -00:32:24"," 150:18:36.00"," 31:14:40.85914"," 121:35:32.86425",35.0105,929.4904," 46:38:23.40959",0.0000,,,-2859303.1193,4649101.2343,3289135.3477,0:0:0
2,pt1,3483083.0555,1224238.1210,35.0085," 31:14:40.84315"," 121:35:32.85708",35.0085,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0220,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:38.0,2020-01-02 10:49:38.0,2020-01-02 02:49:38.0,2020-01-02 02:49:38.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:40:22.44"," -00:30:36"," -00:31:48"," 149:34:12.00"," 31:14:40.85913"," 121:35:32.86428",35.0085,929.4899," 46:38:23.25658",0.0000,,,-2859303.1192,4649101.2325,3289135.3465,0:0:0
3,pt2,3483083.0553,1224238.1199,35.0025," 31:14:40.84315"," 121:35:32.85703",35.0025,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:39.0,2020-01-02 10:49:39.0,2020-01-02 02:49:39.0,2020-01-02 02:49:39.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:01:04.09"," -00:30:36"," -00:32:24"," 149:22:48.00"," 31:14:40.85913"," 121:35:32.86423",35.0025,929.4909," 46:38:23.40400",0.0000,,,-2859303.1155,4649101.2288,3289135.3433,0:0:0
4,pt3,3483083.0548,1224238.1197,35.0105," 31:14:40.84313"," 121:35:32.85703",35.0105,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:40.0,2020-01-02 10:49:40.0,2020-01-02 02:49:40.0,2020-01-02 02:49:40.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:09"," 196:24:49.70"," -00:30:00"," -00:32:24"," 149:12:36.00"," 31:14:40.85911"," 121:35:32.86423",35.0105,929.4914," 46:38:23.33895",0.0000,,,-2859303.1191,4649101.2350,3289135.3470,0:0:0
5,pt4,3483083.0536,1224238.1183,35.0065," 31:14:40.84310"," 121:35:32.85697",35.0065,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:41.0,2020-01-02 10:49:41.0,2020-01-02 02:49:41.0,2020-01-02 02:49:41.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:46:40.09"," -00:30:36"," -00:32:24"," 150:08:24.00"," 31:14:40.85908"," 121:35:32.86417",35.0065,929.4932," 46:38:23.36951",0.0000,,,-2859303.1163,4649101.2333,3289135.3440,0:0:0
6,pt5,3483083.0569,1224238.1193,34.9985," 31:14:40.84320"," 121:35:32.85702",34.9985,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0220,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:42.0,2020-01-02 10:49:42.0,2020-01-02 02:49:42.0,2020-01-02 02:49:42.0,,1.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 194:52:58.44"," -00:30:36"," -00:31:48"," 148:46:48.00"," 31:14:40.85918"," 121:35:32.86422",34.9985,929.4902," 46:38:23.74769",0.0000,,,-2859303.1129,4649101.2254,3289135.3426,0:0:0
7,pt6,3483083.0586,1224238.1192,34.9965," 31:14:40.84325"," 121:35:32.85702",34.9965,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:43.0,2020-01-02 10:49:43.0,2020-01-02 02:49:43.0,2020-01-02 02:49:43.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:28:38.70"," -00:30:36"," -00:31:12"," 149:55:12.00"," 31:14:40.85924"," 121:35:32.86422",34.9965,929.4891," 46:38:24.01889",0.0000,,,-2859303.1116,4649101.2232,3289135.3429,0:0:0
8,pt7,3483083.0607,1224238.1229,34.9915," 31:14:40.84331"," 121:35:32.85716",34.9915,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:44.0,2020-01-02 10:49:44.0,2020-01-02 02:49:44.0,2020-01-02 02:49:44.0,,3.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:04:22.44"," -00:30:36"," -00:31:48"," 149:58:12.00"," 31:14:40.85930"," 121:35:32.86436",34.9915,929.4850," 46:38:23.79898",0.0000,,,-2859303.1121,4649101.2168,3289135.3419,0:0:0
9,pt8,3483083.0582,1224238.1220,35.0095," 31:14:40.84323"," 121:35:32.85712",35.0095,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:45.0,2020-01-02 10:49:45.0,2020-01-02 02:49:45.0,2020-01-02 02:49:45.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:00:10.44"," -00:30:36"," -00:31:48"," 149:54:00.00"," 31:14:40.85922"," 121:35:32.86432",35.0095,929.4874," 46:38:23.52386",0.0000,,,-2859303.1199,4649101.2315,3289135.3492,0:0:0
10,pt9,3483083.0540,1224238.1185,35.0085," 31:14:40.84311"," 121:35:32.85698",35.0085,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:46.0,2020-01-02 10:49:46.0,2020-01-02 02:49:46.0,2020-01-02 02:49:46.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:45"," 198:01:49.29"," -00:29:24"," -00:32:24"," 150:15:00.00"," 31:14:40.85909"," 121:35:32.86418",35.0085,929.4928," 46:38:23.38983",0.0000,,,-2859303.1173,4649101.2345,3289135.3453,0:0:0
