序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
1,pt0,3483083.0557,1224238.1202,35.0105," 31:14:40.84316"," 121:35:32.85705",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:49:37.0,2020-01-02 10:49:37.0,2020-01-02 02:49:37.0,2020-01-02 02:49:37.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:56:52.09"
2,pt1,3483083.0555,1224238.1210,35.0085," 31:14:40.84315"," 121:35:32.85708",35.0085,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:49:38.0,2020-01-02 10:49:38.0,2020-01-02 02:49:38.0,2020-01-02 02:49:38.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:40:22.44"
3,pt2,3483083.0553,1224238.1199,35.0025," 31:14:40.84315"," 121:35:32.85703",35.0025,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:39.0,2020-01-02 10:49:39.0,2020-01-02 02:49:39.0,2020-01-02 02:49:39.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:01:04.09"
4,pt3,3483083.0548,1224238.1197,35.0105," 31:14:40.84313"," 121:35:32.85703",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:40.0,2020-01-02 10:49:40.0,2020-01-02 02:49:40.0,2020-01-02 02:49:40.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:09"," 196:24:49.70"
5,pt4,3483083.0536,1224238.1183,35.0065," 31:14:40.84310"," 121:35:32.85697",35.0065,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:41.0,2020-01-02 10:49:41.0,2020-01-02 02:49:41.0,2020-01-02 02:49:41.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:46:40.09"
6,pt5,3483083.0569,1224238.1193,34.9985," 31:14:40.84320"," 121:35:32.85702",34.9985,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:49:42.0,2020-01-02 10:49:42.0,2020-01-02 02:49:42.0,2020-01-02 02:49:42.0,,1.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 194:52:58.44"
7,pt6,3483083.0586,1224238.1192,34.9965," 31:14:40.84325"," 121:35:32.85702",34.9965,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:43.0,2020-01-02 10:49:43.0,2020-01-02 02:49:43.0,2020-01-02 02:49:43.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:28:38.70"
8,pt7,3483083.0607,1224238.1229,34.9915," 31:14:40.84331"," 121:35:32.85716",34.9915,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:44.0,2020-01-02 10:49:44.0,2020-01-02 02:49:44.0,2020-01-02 02:49:44.0,,3.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:04:22.44"
9,pt8,3483083.0582,1224238.1220,35.0095," 31:14:40.84323"," 121:35:32.85712",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:45.0,2020-01-02 10:49:45.0,2020-01-02 02:49:45.0,2020-01-02 02:49:45.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:00:10.44"
10,pt9,3483083.0540,1224238.1185,35.0085," 31:14:40.84311"," 121:35:32.85698",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:46.0,2020-01-02 10:49:46.0,2020-01-02 02:49:46.0,2020-01-02 02:49:46.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:45"," 198:01:49.29"
